id,query,dimension_tuple_json,is_realistic_and_kept,notes_for_filtering
SYN014,do u have the viral blue jeans that everyone on tiktok is wearing in stock rn,"{""intent"":""product_inquiry"",""complexity"":""simple"",""persona"":""new_customer"",""language_style"":""formal""}",1,
SYN015,need those blue jeans the influencers r wearing!! can u help 🙏,"{""intent"":""product_inquiry"",""complexity"":""simple"",""persona"":""new_customer"",""language_style"":""formal""}",1,
SYN016,How do I exchange this sweater that I bought last week?,"{""intent"":""account_management"",""complexity"":""simple"",""persona"":""loyalty_member"",""language_style"":""contains_slang""}",1,
SYN017,Can you help with returning a jacket? I don't have the receipt tho,"{""intent"":""account_management"",""complexity"":""simple"",""persona"":""loyalty_member"",""language_style"":""contains_slang""}",1,
SYN018,need to swap my pants 4 a bigger size pls,"{""intent"":""account_management"",""complexity"":""simple"",""persona"":""loyalty_member"",""language_style"":""contains_slang""}",1,
SYN019,want to exchange my t-shirt but idk if its too late??,"{""intent"":""account_management"",""complexity"":""simple"",""persona"":""loyalty_member"",""language_style"":""contains_slang""}",1,
SYN020,I bought a dress online but its too small can i return it in store,"{""intent"":""account_management"",""complexity"":""simple"",""persona"":""loyalty_member"",""language_style"":""contains_slang""}",1,
SYN021,heyy how long do i have to return something i got last month,"{""intent"":""account_management"",""complexity"":""simple"",""persona"":""loyalty_member"",""language_style"":""contains_slang""}",1,
SYN022,If I ordered the wrong size shirt can I still exchange it?,"{""intent"":""account_management"",""complexity"":""simple"",""persona"":""loyalty_member"",""language_style"":""contains_slang""}",1,
SYN023,can u tell me about ur return policy for online orders thx,"{""intent"":""account_management"",""complexity"":""simple"",""persona"":""loyalty_member"",""language_style"":""contains_slang""}",1,
SYN024,bought jeans that dont fit me :( how do i send them back?,"{""intent"":""account_management"",""complexity"":""simple"",""persona"":""loyalty_member"",""language_style"":""contains_slang""}",1,
SYN025,need 2 know how 2 return something i got as a gift no receipt,"{""intent"":""account_management"",""complexity"":""simple"",""persona"":""loyalty_member"",""language_style"":""contains_slang""}",1,
SYN026,hey do u have any sales on mens jeans rn?? thx,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""new_customer"",""language_style"":""includes_typos""}",1,
SYN027,"looking for sum cheap jeans for guys, what u got","{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""new_customer"",""language_style"":""includes_typos""}",1,
SYN028,mens jeans on sale?? need a deal asap,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""new_customer"",""language_style"":""includes_typos""}",1,
SYN029,yo any discounts on dude jeans? broke college kid here lol,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""new_customer"",""language_style"":""includes_typos""}",1,
SYN030,got any sales for mens pants? need 2 save $$$,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""new_customer"",""language_style"":""includes_typos""}",1,
SYN031,"need to return a winter coat i got thats two sizes too big, help me pls","{""intent"":""technical_support"",""complexity"":""ambiguous"",""persona"":""frustrated_customer"",""language_style"":""informal""}",1,
SYN032,can u explain how to exchange this hoodie? its WAY too small 😩,"{""intent"":""technical_support"",""complexity"":""ambiguous"",""persona"":""frustrated_customer"",""language_style"":""informal""}",1,
SYN033,"got the wrong size jacket yesterday, how do i send it bak?","{""intent"":""technical_support"",""complexity"":""ambiguous"",""persona"":""frustrated_customer"",""language_style"":""informal""}",1,
SYN034,need 2 return a sweater cuz it doesnt fit right... whats ur policy?,"{""intent"":""technical_support"",""complexity"":""ambiguous"",""persona"":""frustrated_customer"",""language_style"":""informal""}",1,
SYN035,"hey this coat i bought is huge on me, how do i get the right size??","{""intent"":""technical_support"",""complexity"":""ambiguous"",""persona"":""frustrated_customer"",""language_style"":""informal""}",1,
SYN036,do u guys have any summer dresses that r more breathable? its gettin hot outside!!,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""frustrated_customer"",""language_style"":""contains_slang""}",1,
SYN037,hey what kinda dresses would b good 4 the summer? need smthing light n cool,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""frustrated_customer"",""language_style"":""contains_slang""}",1,
SYN038,looking for lightweight summr dress options plz help 🌞🌞,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""frustrated_customer"",""language_style"":""contains_slang""}",1,
SYN039,can u recommend any breathy dresses for summer? sooo hot lately omg,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""frustrated_customer"",""language_style"":""contains_slang""}",1,
SYN040,need a cute dress that wont make me sweat in summer lol what do u have,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""frustrated_customer"",""language_style"":""contains_slang""}",1,
SYN041,Can u tell me what the return policy is if I dont like it??,"{""intent"":""account_management"",""complexity"":""simple"",""persona"":""loyalty_member"",""language_style"":""formal""}",1,
SYN042,whats the return thing if i hate the clothes,"{""intent"":""account_management"",""complexity"":""simple"",""persona"":""loyalty_member"",""language_style"":""formal""}",1,
SYN043,"so like if i want 2 send back the jeans that dont fit me, how do i do that??","{""intent"":""account_management"",""complexity"":""simple"",""persona"":""loyalty_member"",""language_style"":""formal""}",1,
SYN044,need 2 know how to send back some stuff i got... thx,"{""intent"":""account_management"",""complexity"":""simple"",""persona"":""loyalty_member"",""language_style"":""formal""}",1,
SYN045,if a shirt suuuucks how many days do i have 2 send it back? 🙄,"{""intent"":""account_management"",""complexity"":""simple"",""persona"":""loyalty_member"",""language_style"":""formal""}",1,
SYN046,i wanna return this jacket i got last week but i don't have the receipt anymore,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""frustrated_customer"",""language_style"":""informal""}",1,
SYN047,can u help me with sending back a shirt? lost my order email :(,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""frustrated_customer"",""language_style"":""informal""}",1,
SYN048,hey how do i return something? don't have any of the paperwork,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""frustrated_customer"",""language_style"":""informal""}",1,
SYN049,"need 2 send back boots i bought but can't find order number, help plz?","{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""frustrated_customer"",""language_style"":""informal""}",1,
SYN050,omg need to return these pants asap but I threw away all the packaging,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""frustrated_customer"",""language_style"":""informal""}",1,
SYN051,tryna return this sweater i got but lost my receipt can u still help,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""frustrated_customer"",""language_style"":""informal""}",1,
SYN052,gotta return this hoodie but don't have proof of purchase anymore what do i do,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""frustrated_customer"",""language_style"":""informal""}",1,
SYN053,need to return somethin but i don't have any order info anymore,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""frustrated_customer"",""language_style"":""informal""}",1,
SYN054,how do i send back my order?? cant find my confirmation email anywhere,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""frustrated_customer"",""language_style"":""informal""}",1,
SYN055,wanna return this dress but deleted the order confirmation... is that possible?,"{""intent"":""return_request"",""complexity"":""multi-turn"",""persona"":""frustrated_customer"",""language_style"":""informal""}",1,
SYN056,What's your policy about returning running shoes if I already wore them outside? They're causing blisters on my heels,"{""intent"":""cancel_order"",""complexity"":""multi-turn"",""persona"":""repeat_customer"",""language_style"":""formal""}",1,
SYN057,can i get a refund for these sneakers? they hurt my feet after i ran in them once,"{""intent"":""cancel_order"",""complexity"":""multi-turn"",""persona"":""repeat_customer"",""language_style"":""formal""}",1,
SYN058,do u accept returns on worn running shoes? my feet r killing me after using them,"{""intent"":""cancel_order"",""complexity"":""multi-turn"",""persona"":""repeat_customer"",""language_style"":""formal""}",1,
SYN059,bought ur expensive running shoes but they gave me blisters... can i still return?,"{""intent"":""cancel_order"",""complexity"":""multi-turn"",""persona"":""repeat_customer"",""language_style"":""formal""}",1,
SYN060,these running shoes aren't comfortable like u advertised. already used them once. return policy?,"{""intent"":""cancel_order"",""complexity"":""multi-turn"",""persona"":""repeat_customer"",""language_style"":""formal""}",1,
SYN061,Help!! Need to return shoes I ran in yesterday - they're hurting my feet so bad! Is that allowed?,"{""intent"":""cancel_order"",""complexity"":""multi-turn"",""persona"":""repeat_customer"",""language_style"":""formal""}",1,
SYN062,your running shoes r garbage - my feet got blisters after 1 run... can i still return them?,"{""intent"":""cancel_order"",""complexity"":""multi-turn"",""persona"":""repeat_customer"",""language_style"":""formal""}",1,
SYN063,Worn my new trainers once & now have painful blisters 😭 Is it too late to send them back?,"{""intent"":""cancel_order"",""complexity"":""multi-turn"",""persona"":""repeat_customer"",""language_style"":""formal""}",1,
SYN064,just bought running shoes but they're killing my feet. can i still return after wearing outside?,"{""intent"":""cancel_order"",""complexity"":""multi-turn"",""persona"":""repeat_customer"",""language_style"":""formal""}",1,
SYN065,need 2 know if i can return these shoes even tho i went jogging in them once? feet are all blistered now,"{""intent"":""cancel_order"",""complexity"":""multi-turn"",""persona"":""repeat_customer"",""language_style"":""formal""}",1,
SYN066,"For Item# 432-BT, it looks like you don't have my size (large), when will you get more?","{""intent"":""order_status_check"",""complexity"":""multi-turn"",""persona"":""new_customer"",""language_style"":""informal""}",1,
SYN067,"Hi, I noticed the blue oxford shirt is sold out in medium - do you know when it'll be back in stock?","{""intent"":""order_status_check"",""complexity"":""multi-turn"",""persona"":""new_customer"",""language_style"":""informal""}",1,
SYN068,Could you please inform me when you will have the black dress pants in stock again? I need a size 32x30.,"{""intent"":""order_status_check"",""complexity"":""multi-turn"",""persona"":""new_customer"",""language_style"":""informal""}",1,
SYN069,When r u getting more XL hoodies? The ones I want r all sold out 🙁,"{""intent"":""order_status_check"",""complexity"":""multi-turn"",""persona"":""new_customer"",""language_style"":""informal""}",1,
SYN070,hello i was trying 2 order those summer shorts but they're out of stock when will u have them again??,"{""intent"":""order_status_check"",""complexity"":""multi-turn"",""persona"":""new_customer"",""language_style"":""informal""}",1,
SYN071,do u have any sales going on rn for summer dresses??,"{""intent"":""cancel_order"",""complexity"":""multi-turn"",""persona"":""repeat_customer"",""language_style"":""contains_slang""}",1,
SYN072,whats on sale 4 summer dresses this week lol,"{""intent"":""cancel_order"",""complexity"":""multi-turn"",""persona"":""repeat_customer"",""language_style"":""contains_slang""}",1,
SYN073,hey can u tell me bout any discounts on summer dresses happening,"{""intent"":""cancel_order"",""complexity"":""multi-turn"",""persona"":""repeat_customer"",""language_style"":""contains_slang""}",1,
SYN074,summer dress sale??? anything good??,"{""intent"":""cancel_order"",""complexity"":""multi-turn"",""persona"":""repeat_customer"",""language_style"":""contains_slang""}",1,
SYN075,r there any promotions for cute summer dresses atm,"{""intent"":""cancel_order"",""complexity"":""multi-turn"",""persona"":""repeat_customer"",""language_style"":""contains_slang""}",1,
